playerId,name,matches,matchesInStart,matchesSubstituted,matchesComingOff,minutesOnField,minutesTagged,goals,assists,shots,headShots,yellowCards,redCards,directRedCards,penalties,linkupPlays,duels,duelsWon,defensiveDuels,defensiveDuelsWon,offensiveDuels,offensiveDuelsWon,aerialDuels,aerialDuelsWon,fouls,passes,successfulPasses,smartPasses,successfulSmartPasses,passesToFinalThird,successfulPassesToFinalThird,crosses,successfulCrosses,forwardPasses,successfulForwardPasses,backPasses,successfulBackPasses,throughPasses,successfulThroughPasses,keyPasses,successfulKeyPasses,verticalPasses,successfulVerticalPasses,longPasses,successfulLongPasses,dribbles,successfulDribbles,interceptions,defensiveActions,successfulDefensiveAction,attackingActions,successfulAttackingActions,freeKicks,freeKicksOnTarget,directFreeKicks,directFreeKicksOnTarget,corners,successfulPenalties,successfulLinkupPlays,accelerations,pressingDuels,pressingDuelsWon,looseBallDuels,looseBallDuelsWon,missedBalls,shotAssists,shotOnTargetAssists,recoveries,opponentHalfRecoveries,dangerousOpponentHalfRecoveries,losses,ownHalfLosses,dangerousOwnHalfLosses,xgShot,xgAssist,xgSave,receivedPass,touchInBox,progressiveRun,offsides,clearances,secondAssists,thirdAssists,shotsBlocked,foulsSuffered,progressivePasses,counterpressingRecoveries,slidingTackles,goalKicks,dribblesAgainst,dribblesAgainstWon,goalKicksShort,goalKicksLong,shotsOnTarget,successfulProgressivePasses,successfulSlidingTackles,successfulGoalKicks,fieldAerialDuels,fieldAerialDuelsWon,gkCleanSheets,gkConcededGoals,gkShotsAgainst,gkExits,gkSuccessfulExits,gkAerialDuels,gkAerialDuelsWon,gkSaves,newDuelsWon,newDefensiveDuelsWon,newOffensiveDuelsWon,newSuccessfulDribbles,lateralPasses,successfulLateralPasses,cost,points
8717,H. Kane,15,15,3,0,1447,1447,12,0,50,18,4,0,0,3,99,322,129,35,11,149,73,64,16,10,324,237,18,5,65,42,16,5,112,79,53,50,25,8,12,10,104,71,35,22,63,44,20,57,43,147,72,1,0,0,0,0,2,67,9,54,0,74,29,11,17,12,35,23,3,161,46,4,9.92,2.43,0,258,54,11,3,6,1,0,3,20,55,23,2,0,12,6,0,0,24,48,2,0,64,16,0,0,0,0,0,0,0,0,126,21,60,38,104,71,116,102
25486,W. Boly,2,2,1,0,164,164,0,0,1,0,1,0,0,0,0,24,8,10,1,0,0,9,4,1,61,50,0,0,5,3,0,0,29,19,4,4,1,0,0,0,18,18,11,6,0,0,5,15,11,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,14,0,0,18,13,1,0,0,0,42,0,0,0,8,1,0,0,1,12,4,0,0,8,5,0,0,0,6,0,0,9,4,0,0,0,0,0,0,0,0,13,6,0,0,18,18,42,8
12829,J. Vardy,15,8,6,7,818,818,1,1,10,2,1,0,0,0,8,126,27,22,0,34,7,39,14,8,85,60,1,0,4,0,6,0,13,7,29,25,0,0,2,2,21,15,0,0,13,6,18,44,37,30,8,0,0,0,0,0,0,3,2,74,0,31,6,6,6,2,17,11,4,67,25,4,1.85,0.26,0,60,27,4,9,17,1,0,0,1,9,12,4,0,1,0,0,0,5,6,1,0,39,14,0,0,0,0,0,0,0,0,38,15,3,3,21,15,91,40
